id,log_price,property_type,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,host_has_profile_pic,host_identity_verified,number_of_reviews,review_scores_rating,bedrooms,beds
6901257,5.010635294,Apartment,3,1,Real Bed,strict,TRUE,NYC,t,t,2,100,1,1
6304928,5.129898715,Apartment,7,1,Real Bed,strict,TRUE,NYC,t,f,6,93,3,3
7919400,4.976733742,Apartment,5,1,Real Bed,moderate,TRUE,NYC,t,t,10,92,1,3
13418779,6.620073207,House,4,1,Real Bed,flexible,TRUE,SF,t,t,0,,2,2
3808709,4.744932128,Apartment,2,1,Real Bed,moderate,TRUE,DC,t,t,4,40,0,1
12422935,4.442651256,Apartment,2,1,Real Bed,strict,TRUE,SF,t,t,3,100,1,1
11825529,4.418840608,Apartment,3,1,Real Bed,moderate,TRUE,LA,t,f,15,97,1,1
180792,4.787491743,House,2,1,Real Bed,moderate,TRUE,SF,t,f,159,99,1,1
5385260,3.583518938,House,2,1,Real Bed,moderate,TRUE,LA,t,f,2,90,1,1
5578513,4.605170186,Apartment,2,1,Real Bed,strict,TRUE,NYC,t,t,82,93,1,1
17423675,5.010635294,House,4,1.5,Real Bed,strict,TRUE,LA,t,t,29,97,2,2
14066228,4.248495242,Apartment,2,1,Real Bed,flexible,TRUE,LA,t,f,0,,1,1
2658946,5.298317367,Apartment,6,1.5,Real Bed,strict,TRUE,DC,t,t,13,89,2,3
583490,4.955827058,Apartment,2,1,Real Bed,strict,TRUE,LA,t,t,2,100,1,1
6226658,4.094344562,Apartment,2,1.5,Real Bed,moderate,TRUE,Chicago,t,t,0,,1,1
7499179,4.317488114,Loft,2,1,Real Bed,strict,FALSE,Chicago,t,f,15,91,1,1
14648556,4.59511985,Townhouse,2,2,Real Bed,strict,TRUE,Boston,t,t,12,88,1,1
17589436,4.882801923,Apartment,2,1,Real Bed,strict,TRUE,NYC,t,t,26,86,1,2
18224863,4.59511985,House,8,1,Real Bed,strict,TRUE,NYC,t,f,5,72,3,3
7264511,4.382026635,House,2,1,Real Bed,strict,TRUE,LA,t,t,26,98,1,1
16679342,3.688879454,House,2,1.5,Real Bed,strict,TRUE,NYC,t,t,57,89,1,1
3563677,4.905274778,Apartment,4,1,Real Bed,moderate,TRUE,LA,t,t,73,99,1,1
17615783,4.007333185,House,2,1,Real Bed,moderate,TRUE,LA,t,t,2,100,1,1
2479317,6.956545443,Apartment,4,1,Real Bed,moderate,TRUE,DC,t,f,0,,1,2
14122244,5.003946306,Apartment,6,1,Real Bed,strict,TRUE,NYC,t,t,14,100,3,3
19407360,4.553876892,Apartment,2,1,Real Bed,flexible,TRUE,LA,t,t,1,100,1,1
14490881,5.003946306,Apartment,4,1,Real Bed,strict,TRUE,NYC,t,f,4,100,2,2
851978,5.192956851,Apartment,3,1,Real Bed,flexible,TRUE,LA,t,t,4,95,1,2
4734170,4.65396035,Apartment,3,1,Real Bed,strict,TRUE,NYC,t,f,40,88,1,2
421056,4.317488114,Apartment,2,1,Real Bed,strict,TRUE,NYC,t,t,1,100,1,1
5520582,3.828641396,Apartment,2,1,Real Bed,strict,TRUE,LA,t,f,0,,1,1
8908966,5.220355825,Apartment,4,1,Real Bed,strict,TRUE,LA,t,t,248,96,2,3
5559765,4.356708827,Apartment,4,1,Real Bed,flexible,TRUE,LA,t,f,1,,1,2
