week,净值,历史最高,回撤,组合周收益,PDD归一化,JD归一化
2023-06-30,100.000000,100.000000,0.000000,,100.000000,100.000000
2023-07-07,98.233998,100.000000,-0.017660,-0.017660,101.243853,104.775857
2023-07-14,101.623887,101.623887,0.000000,0.034508,114.969627,111.749194
2023-07-21,100.799323,101.623887,-0.008114,-0.008114,109.878507,108.614122
2023-07-28,104.971670,104.971670,0.000000,0.041393,129.230547,118.751831
2023-08-04,105.761476,105.761476,0.000000,0.007524,126.583743,114.532669
2023-08-11,105.712173,105.761476,-0.000466,-0.000466,117.949089,106.826839
2023-08-18,107.606655,107.606655,0.000000,0.017921,111.339312,97.011427
2023-08-25,109.898257,109.898257,0.000000,0.021296,115.577090,96.571931
2023-09-01,124.074680,124.074680,0.000000,0.128996,149.392537,99.912101
2023-09-08,122.392575,124.074680,-0.013557,-0.013557,137.894128,94.931146
2023-09-15,126.604780,126.604780,0.000000,0.034416,143.853052,92.499268
2023-09-22,126.684040,126.684040,0.000000,0.000626,138.747469,89.100498
2023-09-29,130.763225,130.763225,0.000000,0.032200,141.842638,85.350132
2023-10-06,134.732667,134.732667,0.000000,0.030356,152.791438,86.756519
2023-10-13,140.850318,140.850318,0.000000,0.045406,153.456754,79.255787
2023-10-20,145.598020,145.598020,0.000000,0.033707,148.654903,71.432757
2023-10-27,145.701430,145.701430,0.000000,0.000710,156.609777,75.153824
2023-11-03,140.786186,145.701430,-0.033735,-0.033735,153.919583,78.933490
2023-11-10,145.602515,145.701430,-0.000679,0.034210,157.708996,75.476121
2023-11-17,144.453544,145.701430,-0.008565,-0.007891,166.546138,80.896572
2023-11-24,143.671890,145.701430,-0.013929,-0.005411,171.680648,84.266042
2023-12-01,163.748200,163.748200,0.000000,0.139737,210.109922,79.578084
2023-12-08,162.332190,163.748200,-0.008647,-0.008647,200.983512,77.497803
2023-12-15,164.870944,164.870944,0.000000,0.015639,214.564651,80.310577
2023-12-22,162.179104,164.870944,-0.016327,-0.016327,208.967313,80.837972
