item,note,official,ok
OOS R² (%),6.56,6.5563,True
模型方向命中率 (%),63.3,63.3333,True
MA(12) 方向命中率 (%),61.7,61.6667,True
训练 R² (%),6.08,6.0782,True
OOS R² (%),-13.17,-13.1706,True
模型命中率 (%),48.3,48.3333,True
MA(12) 命中率 (%),56.7,56.6667,True
模型 MSE ×1e4,31.65,31.6496,True
基准 MSE ×1e4,27.97,27.9662,True
momentum_12 斜率 (pp),0.6,0.6281,True
momentum_12 标准误 (pp),2.1,2.0566,True
momentum_12 p 值,0.76,0.7604,True
volatility_12 斜率 (pp),8.5,8.4932,True
volatility_12 标准误 (pp),5.2,5.2397,True
volatility_12 p 值,0.11,0.1068,True
ma_gap_10 斜率 (pp),3.0,2.9937,True
ma_gap_10 标准误 (pp),4.2,4.2078,True
ma_gap_10 p 值,0.48,0.4777,True
恒生 OOS R² (%),4.4,4.4031,True
CSI 300 OOS R² (%),4.3,4.3174,True
恒生命中率 (%),41.7,41.6667,True
CSI 300 命中率 (%),51.7,51.6667,True
