task,group,model,oos_r2_pct,n
market,Chinese Mainland,OLS,-148.2,60
market,Chinese Mainland,Ridge,-23.9,60
market,Chinese Mainland,LASSO,-0.6,60
market,Chinese Mainland,Elastic Net,-18.3,60
market,HKSAR,OLS,-13.7,60
market,HKSAR,Ridge,6.1,60
market,HKSAR,LASSO,10.1,60
market,HKSAR,Elastic Net,8.4,60
market,U.S.,OLS,-22.1,60
market,U.S.,Ridge,-3.2,60
market,U.S.,LASSO,-16.3,60
market,U.S.,Elastic Net,-17.6,60
stock,HSI,OLS,-0.531,4108
stock,HSI,Ridge,-0.151,4108
stock,HSI,LASSO,-0.136,4108
stock,HSI,Elastic Net,-0.136,4108
stock,HSI,PCR,0.024,4108
stock,HSI,PLS,0.054,4108
