task,group,model,oos_r2_pct,table_pct,n,match
market,Chinese Mainland,OLS,-148.2,-148.2,60,True
market,Chinese Mainland,Decision tree,-176.3,-176.3,60,True
market,Chinese Mainland,Random forest,-36.4,-36.4,60,True
market,Chinese Mainland,Gradient boosting,-60.0,-60.0,60,True
market,HKSAR,OLS,-13.7,-13.7,60,True
market,HKSAR,Decision tree,4.7,4.7,60,True
market,HKSAR,Random forest,2.6,2.6,60,True
market,HKSAR,Gradient boosting,-3.6,-3.6,60,True
market,U.S.,OLS,-22.1,-22.1,60,True
market,U.S.,Decision tree,-2.6,-2.6,60,True
market,U.S.,Random forest,-6.8,-6.8,60,True
market,U.S.,Gradient boosting,6.3,6.3,60,True
stock,HSI,OLS,-0.531,-0.531,4108,True
stock,HSI,Decision tree,-0.142,-0.142,4108,True
stock,HSI,Random forest,0.011,0.011,4108,True
stock,HSI,Gradient boosting,0.043,0.043,4108,True
