task,group,model,val_mse_x1e4,val_table,oos_pct,oos_table
market,U.S.,Decision tree,25.99,25.99,-2.6,-2.6
market,U.S.,Random forest,25.38,25.41,-6.9,-6.8
market,U.S.,Gradient boosting,24.28,23.35,2.0,6.3
market,HKSAR,Decision tree,23.41,23.41,4.7,4.7
market,HKSAR,Random forest,27.34,26.24,1.6,2.6
market,HKSAR,Gradient boosting,24.39,23.41,-9.1,-3.6
market,Chinese Mainland,Decision tree,27.39,27.39,-176.3,-176.3
market,Chinese Mainland,Random forest,25.53,25.19,-36.1,-36.4
market,Chinese Mainland,Gradient boosting,26.27,25.25,-47.4,-60.0
stock,HSI,Decision tree,26.3,26.3,-0.142,-0.142
stock,HSI,Random forest,26.26,26.25,0.002,0.011
stock,HSI,Gradient boosting,26.26,26.64,-0.063,0.043
