universe,asset_id,code,ticker,company_name,sector,index_weight_pct,constituent_vintage,source_url,source_note,price_source_note
Hang Seng Index,1,5,0005.HK,HSBC HOLDINGS,Finance,8.26,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,2,1299,1299.HK,AIA,Finance,7.13,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,3,939,0939.HK,CCB,Finance,3.9,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,4,388,0388.HK,HKEX,Finance,3.16,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,5,2318,2318.HK,PING AN,Finance,2.63,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,6,1398,1398.HK,ICBC,Finance,2.21,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,7,3988,3988.HK,BANK OF CHINA,Finance,1.95,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,8,3968,3968.HK,CM BANK,Finance,1.08,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,9,2628,2628.HK,CHINA LIFE,Finance,0.77,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,10,2388,2388.HK,BOC HONG KONG,Finance,0.71,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,11,11,0011.HK,HANG SENG BANK,Finance,0.69,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,12,2,0002.HK,CLP HOLDINGS,Utilities,1.08,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,13,3,0003.HK,HK & CHINA GAS,Utilities,0.59,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,14,2688,2688.HK,ENN ENERGY,Utilities,0.58,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,15,6,0006.HK,POWER ASSETS,Utilities,0.48,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,16,836,0836.HK,CHINA RES POWER,Utilities,0.27,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,17,1038,1038.HK,CKI HOLDINGS,Utilities,0.22,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,18,16,0016.HK,SHK PPT,Properties,1.14,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,19,1109,1109.HK,CHINA RES LAND,Properties,0.92,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,20,823,0823.HK,LINK REIT,Properties,0.87,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,21,1113,1113.HK,CK ASSET,Properties,0.74,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,22,688,0688.HK,CHINA OVERSEAS,Properties,0.56,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
Hang Seng Index,23,1997,1997.HK,WHARF REIC,Properties,0.48,July 2023 (list in force 2023-06-05 to 2023-09-03),https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20230818T183005.pdf,"Hang Seng Indexes review announced 18 August 2023 (quarter ended 30 June 2023), Appendix 1. Rows carrying a pre-review weight are the 80 constituents in force during July 2023. Sinopharm (1099) entered and Country Garden (2007) left on 4 September 2023; Li Auto (2015) and WuXi AppTec (2359) were added on 4 December 2023, taking the index from 80 to 82.",Yahoo Finance daily OHLCV; Hang Seng Bank (0011.HK) history is no longer served
