market,model,feature,standardized_coefficient
U.S.,OLS,term_spread_lag1,-0.011030974265904206
U.S.,OLS,fed_funds_lag1,-0.006291598264638175
U.S.,OLS,unemployment_lag2,0.006384480173004372
U.S.,OLS,inflation_lag2,-0.010612005656137001
U.S.,Ridge,term_spread_lag1,-0.0031600510737302325
U.S.,Ridge,fed_funds_lag1,-0.002355900467229926
U.S.,Ridge,unemployment_lag2,0.0028495391038484
U.S.,Ridge,inflation_lag2,-0.007053074760646035
U.S.,LASSO,term_spread_lag1,-0.00586753740654656
U.S.,LASSO,fed_funds_lag1,-0.002742315040149071
U.S.,LASSO,unemployment_lag2,0.004164771082723719
U.S.,LASSO,inflation_lag2,-0.010238333958457666
U.S.,Elastic Net,term_spread_lag1,-0.007151530210704538
U.S.,Elastic Net,fed_funds_lag1,-0.003625954294571581
U.S.,Elastic Net,unemployment_lag2,0.004716736559159155
U.S.,Elastic Net,inflation_lag2,-0.01032959088723852
HKSAR,OLS,term_spread_lag1,-0.006376868200910777
HKSAR,OLS,fed_funds_lag1,0.006522319161138579
HKSAR,OLS,unemployment_lag2,0.007826360923579054
HKSAR,OLS,inflation_lag2,-0.018060205653207585
HKSAR,Ridge,term_spread_lag1,-0.0031216940774865505
HKSAR,Ridge,fed_funds_lag1,0.0023245361731399007
HKSAR,Ridge,unemployment_lag2,0.003402281531936388
HKSAR,Ridge,inflation_lag2,-0.010642165298202453
HKSAR,LASSO,term_spread_lag1,-0.0
HKSAR,LASSO,fed_funds_lag1,0.0
HKSAR,LASSO,unemployment_lag2,0.0
HKSAR,LASSO,inflation_lag2,-0.005715599076709133
HKSAR,Elastic Net,term_spread_lag1,-0.0
HKSAR,Elastic Net,fed_funds_lag1,0.0
HKSAR,Elastic Net,unemployment_lag2,0.0
HKSAR,Elastic Net,inflation_lag2,-0.00819511129846298
Chinese Mainland,OLS,term_spread_lag1,-0.014197602206610153
Chinese Mainland,OLS,fed_funds_lag1,0.019301184931248862
Chinese Mainland,OLS,unemployment_lag2,0.011594435552599727
Chinese Mainland,OLS,inflation_lag2,-0.02793485192997608
Chinese Mainland,Ridge,term_spread_lag1,-0.008833580817073928
Chinese Mainland,Ridge,fed_funds_lag1,0.00905169089079649
Chinese Mainland,Ridge,unemployment_lag2,0.003632802775702205
Chinese Mainland,Ridge,inflation_lag2,-0.0156211674016146
Chinese Mainland,LASSO,term_spread_lag1,-0.004268366710377186
Chinese Mainland,LASSO,fed_funds_lag1,0.004251334600063957
Chinese Mainland,LASSO,unemployment_lag2,0.0
Chinese Mainland,LASSO,inflation_lag2,-0.012190116820450255
Chinese Mainland,Elastic Net,term_spread_lag1,-0.005279036287678889
Chinese Mainland,Elastic Net,fed_funds_lag1,0.007582462612688933
Chinese Mainland,Elastic Net,unemployment_lag2,0.0
Chinese Mainland,Elastic Net,inflation_lag2,-0.0162367963045803
