market,model,validation_mse,alpha,l1_ratio,test_mse,oos_r2,forecast_correlation,nonzero_coefficients
U.S.,MA(12),,,,0.0022006319372242875,0.0,,0
U.S.,OLS,0.0029212151713176853,,,0.0026862349626675373,-0.220665263113355,0.18366211527934762,4
U.S.,Ridge,0.0027023891766799614,100.0,0.0,0.0022709880295550336,-0.03197085852506887,0.18488530370823245,4
U.S.,LASSO,0.0026925999953421233,0.001,1.0,0.0025586933234285772,-0.16270843849331817,0.18881959703897655,4
U.S.,Elastic Net,0.002715107719823777,0.001,0.75,0.0025885520421270003,-0.1762766859559468,0.1876685491927833,4
HKSAR,MA(12),,,,0.005173758757346089,0.0,,0
HKSAR,OLS,0.0031676336532527704,,,0.005882442461771874,-0.1369765653297117,0.14233557245770143,4
HKSAR,Ridge,0.0025755932773902975,100.0,0.0,0.004860144777346123,0.060616274300511974,0.1357653485902431,4
HKSAR,LASSO,0.0025603939166126814,0.01,1.0,0.004653109441703177,0.10063270053008466,0.11759458124632167,1
HKSAR,Elastic Net,0.0025384558750724327,0.01,0.75,0.004741408085429834,0.0835660671851719,0.11759458124632169,1
Chinese Mainland,MA(12),,,,0.002796343730537077,0.0,,0
Chinese Mainland,OLS,0.0027770325195975217,,,0.006940307310797173,-1.481922102424865,0.1910259585579473,4
Chinese Mainland,Ridge,0.0024341259836425117,100.0,0.0,0.0034648688159679025,-0.23907114069357482,0.18881638159380748,4
Chinese Mainland,LASSO,0.002415149178921784,0.01,1.0,0.0028123703636467935,-0.00573128150688329,0.18843041469584537,3
Chinese Mainland,Elastic Net,0.002433849363892197,0.01,0.75,0.0033093722010364614,-0.18346402300151055,0.19044840640926888,3
