universe,model,feature,standardized_coefficient
Hang Seng Index,OLS,mom5d_rank,0.0015957505432181206
Hang Seng Index,OLS,mom20d_rank,-0.00015750819252868654
Hang Seng Index,OLS,mom60d_rank,-0.0022296970053365564
Hang Seng Index,OLS,close_vs_sma20d_rank,-0.0012432003844855249
Hang Seng Index,OLS,maxret20d_rank,0.00022769981067537583
Hang Seng Index,OLS,minret20d_rank,-0.0012439210093772317
Hang Seng Index,OLS,donchian_pos20d_rank,-0.0019377443801551594
Hang Seng Index,OLS,efficiency_ratio20d_rank,0.00023719023979319195
Hang Seng Index,OLS,bop_mean20d_rank,0.0004702032833149313
Hang Seng Index,OLS,clv_mean20d_rank,0.00013354905420589843
Hang Seng Index,OLS,log_dolvol20d_rank,-0.006106493953998148
Hang Seng Index,OLS,abn_dolvol20d_rank,-0.00026233733360639334
Hang Seng Index,OLS,illiq20d_rank,-0.0020297073922495253
Hang Seng Index,OLS,natr20d_rank,0.0019021805565872262
Hang Seng Index,OLS,rv20d_rank,0.0008342683544994951
Hang Seng Index,OLS,downside_rv20d_rank,-0.00466835611624922
Hang Seng Index,OLS,rsi20d_rank,-8.268170759975668e-05
Hang Seng Index,OLS,adx20d_rank,-0.00029202192079045316
Hang Seng Index,OLS,mom10d_rank,0.0006972824335269802
Hang Seng Index,OLS,mom120d_rank,0.00027927808480346237
Hang Seng Index,OLS,high52w_gap_rank,-0.0003616961303572494
Hang Seng Index,OLS,close_vs_sma60d_rank,0.0028336878580780527
Hang Seng Index,OLS,rv60d_rank,-0.00487712638323767
Hang Seng Index,OLS,rv_ratio_20_60_rank,0.001398273016848492
Hang Seng Index,OLS,skew60d_rank,-0.000683300248521022
Hang Seng Index,OLS,illiq60d_rank,-0.005397872194779532
Hang Seng Index,OLS,dolvol_trend_rank,0.00199138902165818
Hang Seng Index,OLS,hl_spread20d_rank,-0.00011849902662607747
Hang Seng Index,OLS,beta_mkt60d_rank,0.0026895410407430627
Hang Seng Index,OLS,ivol_mkt60d_rank,0.003910120078384612
Hang Seng Index,Ridge,mom5d_rank,0.0010680547665452133
Hang Seng Index,Ridge,mom20d_rank,0.0003036574934326796
Hang Seng Index,Ridge,mom60d_rank,-0.0011493340833135409
Hang Seng Index,Ridge,close_vs_sma20d_rank,-0.0003030858948474756
Hang Seng Index,Ridge,maxret20d_rank,0.0004017350656394689
Hang Seng Index,Ridge,minret20d_rank,3.807114600896432e-05
Hang Seng Index,Ridge,donchian_pos20d_rank,-0.001218332350788325
