universe,model,forecast_quintile,mean_excess_return,mean_stock_return,observations
Hang Seng Index,OLS,1,-0.0009809994101334834,-0.00024472585628913216,832
Hang Seng Index,OLS,2,-0.0020200378121035694,-0.0012837642582592193,832
Hang Seng Index,OLS,3,-0.0004968790562616849,0.0002393944975826675,780
Hang Seng Index,OLS,4,1.2716388837963653e-06,0.0007375451927281502,832
Hang Seng Index,OLS,5,0.002246232432682333,0.0029825059865266875,832
Hang Seng Index,PCR,1,-0.002801376127144197,-0.0020651025732998473,832
Hang Seng Index,PCR,2,-0.001518743644469141,-0.0007824700906247909,832
Hang Seng Index,PCR,3,-0.0002084257073504104,0.0005278478464939426,780
Hang Seng Index,PCR,4,0.0014672234001014536,0.0022034969539458074,832
Hang Seng Index,PCR,5,0.0018289382062366415,0.0025652117600809964,832
Hang Seng Index,PLS,1,-0.0028424859064715316,-0.002106212352627183,832
Hang Seng Index,PLS,2,-0.0014230893484757994,-0.000686815794631448,832
Hang Seng Index,PLS,3,-0.0006474210950093341,8.88524588350187e-05,780
Hang Seng Index,PLS,4,0.0023131906636329586,0.003049464217477313,832
Hang Seng Index,PLS,5,0.001339984601969371,0.0020762581558137257,832
Hang Seng Index,Ridge,1,-0.002838910031385437,-0.002102636477541088,832
Hang Seng Index,Ridge,2,-0.0011803500824703512,-0.0004440765286259986,832
Hang Seng Index,Ridge,3,0.00032300835753858436,0.0010592819113829366,780
Hang Seng Index,Ridge,4,0.000530776744019814,0.0012670502978641676,832
Hang Seng Index,Ridge,5,0.001966305768727299,0.002702579322571653,832
