market,selected_model,feature,permutation_importance,importance_sd
U.S.,Gradient boosting,inflation_lag2,0.00021036474640334456,0.00012410620651933445
U.S.,Gradient boosting,fed_funds_lag1,8.843719300760689e-05,0.00013007501264053885
U.S.,Gradient boosting,term_spread_lag1,3.517390913060065e-05,7.128918507063402e-05
U.S.,Gradient boosting,unemployment_lag2,-4.750212224530464e-06,7.049215392416308e-06
HKSAR,Decision tree,inflation_lag2,2.037294709184093e-05,0.00014260975900972882
HKSAR,Decision tree,term_spread_lag1,0.0,0.0
HKSAR,Decision tree,fed_funds_lag1,0.0,0.0
HKSAR,Decision tree,unemployment_lag2,0.0,0.0
Chinese Mainland,Random forest,inflation_lag2,9.546630339307818e-05,0.00025767678800191484
Chinese Mainland,Random forest,unemployment_lag2,-1.1089977138260646e-06,1.7553386420178095e-05
Chinese Mainland,Random forest,term_spread_lag1,-0.0006063147037757831,0.0003290598992729791
Chinese Mainland,Random forest,fed_funds_lag1,-0.0006677736014496533,0.00031387177943603185
