market,model,validation_mse,max_depth,min_samples_leaf,learning_rate,test_mse,oos_r2,forecast_correlation
U.S.,MA(12),,,,,0.0022006319372242875,0.0,
U.S.,OLS,,,,,0.0026862349626675347,-0.22066526311335388,0.1836621152793475
U.S.,Decision tree,0.0025986409483210685,3.0,24.0,,0.0022584793891933003,-0.026286745634518605,0.21718859355162806
U.S.,Random forest,0.002541314111660739,5.0,5.0,,0.0023502687115380307,-0.06799718380097852,0.21378212075149483
U.S.,Gradient boosting,0.002334593175224169,2.0,8.0,0.03,0.002062339792135241,0.06284201494570596,0.1992189171209524
HKSAR,MA(12),,,,,0.005173758757346089,0.0,
HKSAR,OLS,,,,,0.005882442461771873,-0.1369765653297117,0.14233557245770137
HKSAR,Decision tree,0.0023412555279556622,1.0,36.0,,0.00493268381916406,0.04659570526741963,0.04561786857377386
HKSAR,Random forest,0.002624375392980049,5.0,5.0,,0.005039280666256952,0.02599233891572461,0.13201401252355616
HKSAR,Gradient boosting,0.002341475845071853,2.0,8.0,0.03,0.005360191426029923,-0.03603427941419257,0.058680436373818326
Chinese Mainland,MA(12),,,,,0.002796343730537077,0.0,
Chinese Mainland,OLS,,,,,0.006940307310797168,-1.4819221024248632,0.19102595855794724
Chinese Mainland,Decision tree,0.0027387068506370535,2.0,12.0,,0.007726601465025496,-1.7631086195335124,0.13429232962880738
Chinese Mainland,Random forest,0.002519073827739423,3.0,10.0,,0.0038148266213074047,-0.36421949120493613,0.11484275083394793
Chinese Mainland,Gradient boosting,0.002525250949928449,2.0,16.0,0.01,0.004475305372369075,-0.6004131836501838,0.03914821901411742
