universe,selected_model,feature,permutation_importance,importance_sd
Hang Seng Index,Random forest,dolvol_trend_rank,1.1060690299776199e-06,4.3965047254147927e-07
Hang Seng Index,Random forest,beta_mkt60d_rank,5.455732956505804e-07,4.322620512674963e-07
Hang Seng Index,Random forest,high52w_gap_rank,3.8141963535559426e-07,2.0442623462269083e-07
Hang Seng Index,Random forest,mom20d_rank,2.9951896465134756e-07,2.2347986485618135e-07
Hang Seng Index,Random forest,rv_ratio_20_60_rank,2.84076340676956e-07,4.6262213697496395e-07
Hang Seng Index,Random forest,rsi20d_rank,1.9418802901569805e-07,1.517368535001345e-07
Hang Seng Index,Random forest,downside_rv20d_rank,1.7914558893439002e-07,1.7523080031557012e-07
Hang Seng Index,Random forest,ivol_mkt60d_rank,1.6912222440668896e-07,9.757658605237191e-08
Hang Seng Index,Random forest,close_vs_sma60d_rank,1.524847318521913e-07,2.413014408843795e-07
Hang Seng Index,Random forest,rv60d_rank,1.3193807521322843e-07,1.5964130840374257e-07
Hang Seng Index,Random forest,adx20d_rank,1.186963543147422e-07,1.0523918110562123e-07
Hang Seng Index,Random forest,bop_mean20d_rank,1.1664050959682715e-07,1.9491944276907385e-07
Hang Seng Index,Random forest,donchian_pos20d_rank,1.148076807643295e-07,8.041136973458479e-08
Hang Seng Index,Random forest,mom60d_rank,7.930821725739567e-08,7.324074443049818e-08
Hang Seng Index,Random forest,hl_spread20d_rank,7.362431791770503e-08,1.616496266935318e-07
Hang Seng Index,Random forest,clv_mean20d_rank,7.280651911138342e-08,1.1130226009676235e-07
Hang Seng Index,Random forest,mom120d_rank,7.013581040485271e-08,1.1500483827523782e-07
Hang Seng Index,Random forest,close_vs_sma20d_rank,6.553636818271436e-08,1.6983194539079143e-07
Hang Seng Index,Random forest,natr20d_rank,6.118903193979655e-08,3.9826082667160607e-07
Hang Seng Index,Random forest,illiq60d_rank,5.725475154138374e-08,2.133986428538627e-07
Hang Seng Index,Random forest,rv20d_rank,-1.1761612364009795e-08,7.131990348576394e-08
Hang Seng Index,Random forest,illiq20d_rank,-2.2798603414054633e-08,1.84153556819621e-07
Hang Seng Index,Random forest,efficiency_ratio20d_rank,-4.490011117491699e-08,1.2628287697162172e-07
Hang Seng Index,Random forest,skew60d_rank,-6.801373064740703e-08,1.0198417901693778e-07
Hang Seng Index,Random forest,log_dolvol20d_rank,-7.377097924219622e-08,8.529456176180014e-08
Hang Seng Index,Random forest,minret20d_rank,-8.728259364985889e-08,1.1836155910495162e-07
Hang Seng Index,Random forest,mom10d_rank,-1.3183771358588637e-07,2.702377053468144e-07
Hang Seng Index,Random forest,abn_dolvol20d_rank,-1.411498635498261e-07,1.1741144140341661e-07
Hang Seng Index,Random forest,mom5d_rank,-1.4939663223673013e-07,1.722279769572612e-07
Hang Seng Index,Random forest,maxret20d_rank,-2.3145299734034924e-07,6.073008451233905e-08
