date,PDD,JD
2023-06-26,69.58,34.97
2023-06-27,71.68,35.75
2023-06-28,70.21,34.79
2023-06-29,68.9,34.02
2023-06-30,69.14,34.13
2023-07-03,71.29,35.15
2023-07-05,71.84,35.2
2023-07-06,67.69,34.08
2023-07-07,70.0,35.76
2023-07-10,70.14,35.95
2023-07-11,71.04,36.02
2023-07-12,75.34,37.41
2023-07-13,80.93,39.36
2023-07-14,79.49,38.14
2023-07-17,79.1,37.78
2023-07-18,75.67,36.06
2023-07-19,75.23,36.41
2023-07-20,74.88,36.67
2023-07-21,75.97,37.07
2023-07-24,78.85,38.36
2023-07-25,82.99,38.53
2023-07-26,84.11,39.13
2023-07-27,84.53,37.98
2023-07-28,89.35,40.53
2023-07-31,89.82,41.31
2023-08-01,90.09,40.04
2023-08-02,84.01,38.25
2023-08-03,88.81,39.56
2023-08-04,87.52,39.09
2023-08-07,85.6,38.91
2023-08-08,83.72,38.05
2023-08-09,83.48,37.67
2023-08-10,84.72,38.49
2023-08-11,81.55,36.46
2023-08-14,81.45,36.76
2023-08-15,78.84,35.97
2023-08-16,79.02,34.88
2023-08-17,79.66,34.76
2023-08-18,76.98,33.11
2023-08-21,78.06,33.22
2023-08-22,77.49,33.28
2023-08-23,77.92,33.81
2023-08-24,78.27,33.02
2023-08-25,79.91,32.96
2023-08-28,80.76,33.81
2023-08-29,93.22,34.5
2023-08-30,98.14,33.97
2023-08-31,98.97,33.21
2023-09-01,103.29,34.1
2023-09-05,101.06,34.26
2023-09-06,101.59,33.79
2023-09-07,96.61,32.34
2023-09-08,95.34,32.4
2023-09-11,97.4,31.92
2023-09-12,98.88,31.73
2023-09-13,98.26,31.69
2023-09-14,99.07,31.72
2023-09-15,99.46,31.57
2023-09-18,99.81,31.12
2023-09-19,98.35,30.64
2023-09-20,94.48,30.35
2023-09-21,92.17,29.81
2023-09-22,95.93,30.41
2023-09-25,96.69,29.78
2023-09-26,93.93,29.03
2023-09-27,95.0,28.95
2023-09-28,95.61,28.55
2023-09-29,98.07,29.13
2023-10-02,99.67,29.07
2023-10-03,97.9,28.46
2023-10-04,98.16,28.39
2023-10-05,98.36,28.65
2023-10-06,105.64,29.61
2023-10-09,106.96,29.23
2023-10-10,109.55,30.27
2023-10-11,110.07,30.34
2023-10-12,106.9,27.83
2023-10-13,106.1,27.05
2023-10-16,105.32,27.64
2023-10-17,104.85,26.65
2023-10-18,105.33,25.88
2023-10-19,104.07,25.07
2023-10-20,102.78,24.38
2023-10-23,104.19,24.8
2023-10-24,108.34,25.25
2023-10-25,107.49,25.12
2023-10-26,107.58,25.92
2023-10-27,108.28,25.65
2023-10-30,104.26,25.94
2023-10-31,101.42,25.42
2023-11-01,102.93,25.33
2023-11-02,101.31,25.81
2023-11-03,106.42,26.94
2023-11-06,107.13,27.11
2023-11-07,109.37,26.82
2023-11-08,109.65,26.45
2023-11-09,108.33,25.75
2023-11-10,109.04,25.76
2023-11-13,109.23,25.75
2023-11-14,111.0,26.71
2023-11-15,114.42,28.59
2023-11-16,113.05,28.08
2023-11-17,115.15,27.61
2023-11-20,118.78,28.55
2023-11-21,117.34,28.08
2023-11-22,117.44,28.31
2023-11-24,118.7,28.76
2023-11-27,117.72,28.34
2023-11-28,139.0,28.16
