讲义页,项目,讲义值,复现值,小数位,差,容差(半个显示单位),复现值(按讲义位数舍入),对上?
p.15,"corr(动量, 下月收益)",0.02,0.0228847,2,0.00288475,0.005,0.02,✅
p.15,"corr(波动率, 下月收益)",0.12,0.120607,2,0.000607176,0.005,0.12,✅
p.15,"corr(均线偏离, 下月收益)",0.05,0.0532509,2,0.00325095,0.005,0.05,✅
p.29,"corr(return_lag1, momentum_12)",0.29,0.289759,2,-0.000241128,0.005,0.29,✅
p.29,"corr(return_lag1, volatility_12)",0.06,0.0555417,2,-0.00445832,0.005,0.06,✅
p.29,"corr(return_lag1, ma_gap_10)",0.54,0.538803,2,-0.00119747,0.005,0.54,✅
p.29,"corr(return_lag1, term_spread_lag1)",-0,-0.00491547,2,-0.00491547,0.005,-0,✅
p.29,"corr(momentum_12, volatility_12)",-0.44,-0.444961,2,-0.00496091,0.005,-0.44,✅
p.29,"corr(momentum_12, ma_gap_10)",0.74,0.743415,2,0.00341526,0.005,0.74,✅
p.29,"corr(momentum_12, term_spread_lag1)",-0.03,-0.0290969,2,0.000903068,0.005,-0.03,✅
p.29,"corr(volatility_12, ma_gap_10)",-0.13,-0.12578,2,0.00421953,0.005,-0.13,✅
p.29,"corr(volatility_12, term_spread_lag1)",0.3,0.300848,2,0.000848241,0.005,0.3,✅
p.29,"corr(ma_gap_10, term_spread_lag1)",0,0.00188116,2,0.00188116,0.005,0,✅
p.24,动量 斜率 (pp),0.6,0.628101,1,0.0281013,0.05,0.6,✅
p.24,动量 标准误 (pp),2.1,2.05665,1,-0.0433529,0.05,2.1,✅
p.24,动量 p 值,0.76,0.760418,2,0.000417884,0.005,0.76,✅
p.24,动量 R² (%),0.1,0.0523712,1,-0.0476288,0.05,0.1,✅
p.24,波动率 斜率 (pp),8.5,8.49318,1,-0.00681795,0.05,8.5,✅
p.24,波动率 标准误 (pp),5.2,5.23969,1,0.0396882,0.05,5.2,✅
p.24,波动率 p 值,0.11,0.106802,2,-0.00319783,0.005,0.11,✅
p.24,波动率 R² (%),1.5,1.45461,1,-0.0453909,0.05,1.5,✅
p.24,均线偏离 斜率 (pp),3,2.99372,1,-0.00628121,0.05,3,✅
p.24,均线偏离 标准误 (pp),4.2,4.20782,1,0.00781871,0.05,4.2,✅
p.24,均线偏离 p 值,0.48,0.477727,2,-0.00227298,0.005,0.48,✅
p.24,均线偏离 R² (%),0.3,0.283566,1,-0.0164336,0.05,0.3,✅
p.21,r̂(%) 截距 0.8,0.8,0.772215,1,-0.0277848,0.05,0.8,✅
p.21,r̂(%) 斜率 0.6,0.6,0.628101,1,0.0281013,0.05,0.6,✅
p.21,动量 +0.10 → 拟合收益变化 (bp),6.3,6.28101,1,-0.0189868,0.05,6.3,✅
p.22,动量 t 统计量,0.31,0.305401,2,-0.00459937,0.005,0.31,✅
p.33,标准化 动量 斜率 (%),0.4,0.393428,1,-0.00657182,0.05,0.4,✅
p.33,标准化 动量 标准误 (%),0.6,0.57857,1,-0.0214295,0.05,0.6,✅
p.33,标准化 动量 p 值,0.5,0.497398,2,-0.00260236,0.005,0.5,✅
p.33,标准化 波动率 斜率 (%),0.7,0.710001,1,0.010001,0.05,0.7,✅
p.33,标准化 波动率 标准误 (%),0.4,0.390063,1,-0.00993678,0.05,0.4,✅
p.33,标准化 波动率 p 值,0.07,0.0704242,2,0.000424186,0.005,0.07,✅
p.33,标准化 均线偏离 斜率 (%),0,0.031276,1,0.031276,0.05,0,✅
p.33,标准化 均线偏离 标准误 (%),0.5,0.522287,1,0.0222867,0.05,0.5,✅
p.33,标准化 均线偏离 p 值,0.95,0.952317,2,0.00231689,0.005,0.95,✅
p.33,R²_train (%),2.2,2.18726,1,-0.0127414,0.05,2.2,✅
p.46/49,SPY OOS R² vs MA(12) (%),6.6,6.5563,1,-0.0437042,0.05,6.6,✅
p.47,SPY 三变量回归 命中率 (%),63.3,63.3333,1,0.0333333,0.05,63.3,✅
p.47,SPY MA(12) 命中率 (%),61.7,61.6667,1,-0.0333333,0.05,61.7,✅
p.47,SPY 测试期正收益月数 (/60),38,38,0,0,0.5,38,✅
p.47,SPY 永远猜涨命中率 (%),63.3,63.3333,1,0.0333333,0.05,63.3,✅
p.35,CSI 进口增长 β (pp / 1pp),-0.15,-0.150982,2,-0.000982016,0.005,-0.15,✅
p.35,CSI 进口增长 p 值,0.001,0.00135466,3,0.000354661,0.000500001,0.001,✅
p.35,CSI 联合 F 检验 p 值,0.026,0.0261627,3,0.000162655,0.000500001,0.026,✅
p.35,CSI R²_train (%),6.1,6.07816,1,-0.0218358,0.05,6.1,✅
p.51,CSI 宏观模型 OOS R² (%),-13.2,-13.1706,1,0.0293635,0.05,-13.2,✅
p.51,CSI 宏观模型 命中率 (%),48.3,48.3333,1,0.0333333,0.05,48.3,✅
p.51,CSI MA(12) 命中率 (%),56.7,56.6667,1,-0.0333333,0.05,56.7,✅
p.51,CSI 宏观模型 MSE ×1e4,31.65,31.6496,2,-0.000429228,0.005,31.65,✅
p.51,CSI MA(12) MSE ×1e4,27.97,27.9662,2,-0.00376093,0.005,27.97,✅
p.48,CSI 测试期正收益月基准率 (%),48.3,48.3333,1,0.0333333,0.05,48.3,✅
