forecast_month,实际收益,模型预测,MA12,实际方向,模型方向,MA12方向,模型命中
2021-07-31,0.024119,0.016686,0.028565,1.000000,1.000000,1.000000,1
2021-08-31,0.029326,0.015145,0.025806,1.000000,1.000000,1.000000,1
2021-09-30,-0.047727,0.013023,0.022628,-1.000000,1.000000,1.000000,0
2021-10-31,0.067812,0.013017,0.021831,1.000000,1.000000,1.000000,1
2021-11-30,-0.008067,0.015940,0.029586,-1.000000,1.000000,1.000000,0
2021-12-31,0.045210,0.009524,0.020309,1.000000,1.000000,1.000000,1
2022-01-31,-0.054183,0.010098,0.021045,-1.000000,1.000000,1.000000,0
2022-02-28,-0.029962,0.010781,0.017383,-1.000000,1.000000,1.000000,0
2022-03-31,0.036901,0.009814,0.012601,1.000000,1.000000,1.000000,1
2022-04-30,-0.091862,0.009523,0.011976,-1.000000,1.000000,1.000000,0
2022-05-31,0.002255,0.008488,0.000024,1.000000,1.000000,1.000000,1
2022-06-30,-0.086059,0.008394,-0.000333,-1.000000,1.000000,-1.000000,0
2022-07-31,0.088091,0.007735,-0.009353,1.000000,1.000000,-1.000000,1
2022-08-31,-0.041658,0.012087,-0.004022,-1.000000,1.000000,-1.000000,0
2022-09-30,-0.097002,0.010346,-0.009937,-1.000000,1.000000,-1.000000,0
2022-10-31,0.078141,0.010768,-0.014044,1.000000,1.000000,-1.000000,1
2022-11-30,0.054101,0.011838,-0.013183,1.000000,1.000000,-1.000000,1
2022-12-31,-0.059356,0.014558,-0.008002,-1.000000,1.000000,-1.000000,0
2023-01-31,0.060989,0.011864,-0.016716,1.000000,1.000000,-1.000000,1
2023-02-28,-0.025464,0.015525,-0.007118,-1.000000,1.000000,-1.000000,0
2023-03-31,0.036407,0.015485,-0.006744,1.000000,1.000000,-1.000000,1
2023-04-30,0.015849,0.015609,-0.006785,1.000000,1.000000,-1.000000,1
2023-05-31,0.004605,0.016129,0.002191,1.000000,1.000000,1.000000,1
2023-06-30,0.062787,0.016198,0.002387,1.000000,1.000000,1.000000,1
2023-07-31,0.032209,0.018712,0.014791,1.000000,1.000000,1.000000,1
2023-08-31,-0.016385,0.015483,0.010134,-1.000000,1.000000,1.000000,0
2023-09-30,-0.048596,0.015377,0.012240,-1.000000,1.000000,1.000000,0
2023-10-31,-0.021948,0.013514,0.016274,-1.000000,1.000000,1.000000,0
2023-11-30,0.087410,0.009247,0.007933,1.000000,1.000000,1.000000,1
2023-12-31,0.044644,0.012113,0.010709,1.000000,1.000000,1.000000,1
2024-01-31,0.015801,0.013391,0.019376,1.000000,1.000000,1.000000,1
2024-02-29,0.050871,0.011185,0.015610,1.000000,1.000000,1.000000,1
2024-03-31,0.032179,0.013236,0.021971,1.000000,1.000000,1.000000,1
2024-04-30,-0.041155,0.013087,0.021619,-1.000000,1.000000,1.000000,0
2024-05-31,0.049342,0.012690,0.016868,1.000000,1.000000,1.000000,1
2024-06-30,0.034672,0.014518,0.020596,1.000000,1.000000,1.000000,1
2024-07-31,0.012036,0.013014,0.018254,1.000000,1.000000,1.000000,1
2024-08-31,0.023097,0.012260,0.016572,1.000000,1.000000,1.000000,1
2024-09-30,0.020787,0.012920,0.019863,1.000000,1.000000,1.000000,1
2024-10-31,-0.008964,0.012677,0.025645,-1.000000,1.000000,1.000000,0
2024-11-30,0.057923,0.012408,0.026727,1.000000,1.000000,1.000000,1
2024-12-31,-0.024354,0.009929,0.024269,-1.000000,1.000000,1.000000,0
2025-01-31,0.026502,0.008517,0.018520,1.000000,1.000000,1.000000,1
2025-02-28,-0.012776,0.008922,0.019411,-1.000000,1.000000,1.000000,0
2025-03-31,-0.057332,0.006715,0.014107,-1.000000,1.000000,1.000000,0
2025-04-30,-0.008708,0.006198,0.006648,-1.000000,1.000000,1.000000,0
2025-05-31,0.060949,0.005918,0.009352,1.000000,1.000000,1.000000,1
2025-06-30,0.050109,0.007009,0.010319,1.000000,1.000000,1.000000,1
2025-07-31,0.022770,0.008101,0.011606,1.000000,1.000000,1.000000,1
2025-08-31,0.020312,0.008513,0.012500,1.000000,1.000000,1.000000,1
2025-09-30,0.035001,0.008436,0.012268,1.000000,1.000000,1.000000,1
2025-10-31,0.023558,0.009156,0.013453,1.000000,1.000000,1.000000,1
2025-11-30,0.001948,0.009897,0.016163,1.000000,1.000000,1.000000,1
2025-12-31,0.000797,0.007287,0.011498,1.000000,1.000000,1.000000,1
2026-01-31,0.014630,0.007266,0.013594,1.000000,1.000000,1.000000,1
2026-02-28,-0.008680,0.006794,0.012605,-1.000000,1.000000,1.000000,0
2026-03-31,-0.050640,0.006674,0.012946,-1.000000,1.000000,1.000000,0
2026-04-30,0.099893,0.006090,0.013504,1.000000,1.000000,1.000000,1
2026-05-31,0.051288,0.012919,0.022554,1.000000,1.000000,1.000000,1
2026-06-30,-0.010346,0.012435,0.021749,-1.000000,1.000000,1.000000,0
