student_id,age,programme_level,nationality_group,boarding_status,attendance_rate,assessment_completion_rate,current_grade,lms_engagement_score,wellbeing_flag,safeguarding_flag,intervention_count,guardian_contact_complete,record_completeness_score,access_review_overdue_flag,academic_risk_level
STU000001,17,A-Level,International,Boarding,0.938,0.983,84.3,0.974,False,False,0,True,0.877,False,Low
STU000002,17,EAP,UK,Day,0.873,0.647,72.2,0.627,True,False,1,False,0.722,False,High
STU000003,17,Foundation,UK,Homestay,0.733,0.469,61.2,0.621,True,False,4,True,0.712,True,High
STU000004,17,A-Level,International,Day,0.878,0.745,75.0,0.74,False,False,0,True,0.766,True,Medium
STU000005,15,GCSE,EU,Boarding,0.981,0.953,83.5,0.904,False,False,0,True,0.792,True,Low
STU000006,16,GCSE,International,Boarding,0.825,0.726,81.9,0.607,False,False,1,True,0.897,True,Medium
STU000007,14,GCSE,International,Homestay,0.861,0.756,81.9,0.786,False,False,0,True,0.743,False,Medium
STU000008,18,Foundation,UK,Day,1.0,0.995,100.0,0.871,False,False,1,True,0.846,False,Low
STU000009,17,A-Level,International,Boarding,0.923,0.868,80.3,0.937,False,False,1,True,0.973,False,Low
STU000010,19,Foundation,UK,Day,0.882,0.894,74.3,0.837,False,False,0,True,0.884,False,Low
STU000011,16,GCSE,UK,Day,0.867,0.694,74.1,0.504,False,False,2,True,0.839,False,Medium
STU000012,18,EAP,UK,Homestay,0.926,0.849,80.2,0.695,False,False,0,True,0.943,False,Low
STU000013,19,Foundation,UK,Homestay,0.948,0.864,80.7,0.691,False,False,0,True,0.882,True,Low
STU000014,15,GCSE,UK,Boarding,0.749,0.789,65.8,0.613,False,False,0,False,0.712,False,High
STU000015,15,GCSE,UK,Day,0.744,0.702,74.6,0.824,False,False,4,True,0.789,False,Medium
STU000016,14,GCSE,International,Homestay,0.83,0.788,72.3,0.672,False,False,0,False,0.689,False,Medium
STU000017,16,A-Level,International,Day,0.889,0.703,70.1,0.754,False,False,0,True,0.924,True,Medium
STU000018,16,A-Level,International,Day,0.905,0.844,76.9,0.73,False,False,0,True,0.846,False,Low
STU000019,16,A-Level,EU,Boarding,0.734,0.551,54.1,0.69,True,False,4,True,0.676,True,High
STU000020,17,A-Level,UK,Day,0.886,0.917,88.2,0.662,False,False,1,True,0.876,False,Low
STU000021,16,A-Level,UK,Homestay,0.831,0.712,70.2,0.656,True,False,1,True,0.978,False,High
STU000022,14,GCSE,UK,Day,0.841,0.771,75.6,0.686,False,False,1,True,0.696,False,Medium
STU000023,18,A-Level,UK,Day,0.863,0.648,83.1,0.73,False,False,2,True,0.807,False,Medium
STU000024,16,A-Level,International,Boarding,0.849,0.829,74.1,0.664,False,False,1,True,0.821,False,Medium
STU000025,17,A-Level,EU,Boarding,0.872,0.772,64.2,0.535,True,False,2,True,0.942,False,High
STU000026,17,Foundation,UK,Day,0.9,0.846,87.9,0.897,False,False,1,True,0.835,False,Low
STU000027,16,GCSE,UK,Day,0.82,0.708,66.3,0.685,False,False,3,True,0.85,True,Medium
STU000028,18,A-Level,UK,Boarding,0.967,0.873,72.0,0.921,False,False,0,True,0.859,False,Low
STU000029,17,A-Level,UK,Day,0.804,0.908,85.4,0.769,False,False,2,True,0.908,True,Low
STU000030,15,GCSE,UK,Day,0.78,0.74,76.6,0.743,False,False,1,True,0.914,False,Medium
STU000031,16,A-Level,International,Boarding,0.883,0.864,81.1,0.883,False,False,1,False,0.654,False,Low
STU000032,16,GCSE,UK,Day,0.882,0.973,80.5,1.0,False,False,0,True,0.725,False,Low
STU000033,16,GCSE,International,Homestay,0.867,0.606,75.6,0.835,True,False,1,True,0.603,False,High
STU000034,19,EAP,UK,Boarding,0.817,0.811,77.1,0.874,False,False,0,True,0.812,False,Low
STU000035,18,EAP,UK,Homestay,0.963,0.858,90.7,0.868,False,False,1,True,0.959,False,Low
STU000036,18,Foundation,International,Day,1.0,0.955,95.1,0.981,False,False,0,True,0.73,False,Low
STU000037,18,A-Level,EU,Homestay,0.865,0.813,69.2,0.65,False,True,2,True,0.976,False,Medium
STU000038,15,GCSE,UK,Day,0.922,0.919,76.2,0.815,False,False,1,True,0.873,False,Low
STU000039,17,A-Level,International,Day,0.752,0.756,79.5,0.842,False,False,2,True,0.677,False,Medium
STU000040,16,A-Level,UK,Day,0.87,0.822,84.3,0.856,False,False,0,True,0.782,True,Low
STU000041,16,GCSE,UK,Day,0.851,0.767,79.2,0.704,False,False,0,True,0.884,False,Medium
STU000042,16,A-Level,International,Day,0.84,0.852,80.5,0.783,False,False,1,True,0.913,False,Low
STU000043,14,GCSE,International,Boarding,0.8,0.812,78.5,0.651,False,True,3,True,0.636,True,High
STU000044,18,EAP,UK,Day,0.861,0.653,95.9,0.695,False,False,1,True,0.914,False,Medium
STU000045,17,A-Level,UK,Day,0.728,0.755,82.2,0.807,True,False,1,True,0.88,False,Medium
STU000046,17,A-Level,International,Boarding,0.866,0.749,78.3,0.688,False,False,2,True,0.866,False,Medium
STU000047,16,A-Level,UK,Day,0.827,0.904,85.2,0.669,False,False,0,True,1.0,False,Low
STU000048,16,A-Level,UK,Boarding,0.955,0.733,77.4,0.729,False,False,1,True,0.789,False,Low
STU000049,17,A-Level,EU,Boarding,0.923,0.695,61.0,0.682,False,False,0,False,0.661,False,Medium
STU000050,16,GCSE,International,Homestay,0.923,0.731,87.6,0.658,False,False,2,False,0.898,True,Low
STU000051,19,EAP,UK,Day,0.968,0.835,75.7,0.629,False,False,0,True,0.787,False,Low
